scientific_name,common_name,family,watering_frequency,notes,toxicity,repotting,light_requirements,health
Ficus benjamina,Фикус Benjamin,Комнатное,1–2 раза в неделю,"Не переливать. Поливать только при высыхании верхнего слоя почвы.",Да,раз в 2–3 года,яркий свет/полутень,"Болезнь/Паразиты не обнаружены. Растение здорово"
Sansevieria trifasciata,Сансевиерия,Комнатное,1 раз в 2–3 недели,"Высокая засухоустойчивость. Избегать переувлажнения.",Да,раз в 3–4 года,полутень,"Болезнь/Паразиты не обнаружены. Растение здорово"
Dracaena marginata,Драцена Маргариты,Комнатное,1 раз в неделю,"Поливать умеренно, избегать сквозняков.",Да,раз в 2 года,яркий свет/полутень,"Болезнь/Паразиты не обнаружены. Растение здорово"
Hedera helix,Плющ,Комнатное/Садовое,1–2 раза в неделю,"Влажная почва, но не залитая.",Да,раз в 2 года,полутень,"Болезнь/Паразиты не обнаружены. Растение здорово"
Rosa spp.,Роза,Садовое,2–3 раза в неделю,"Поливать утром, избегать попадания воды на листья.",Нет,раз в 2–3 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Lilium spp.,Лилия,Садовое,1–2 раза в неделю,"Почва должна быть влажной, но не залитой.",Да,раз в 2 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Hosta spp.,Госта,Садовое,2–3 раза в неделю,"Любит влажную почву. Поливать в утренние часы.",Нет,раз в 3–4 года,полутень/тень,"Болезнь/Паразиты не обнаружены. Растение здорово"
Cucurbita pepo,Кабачок,Овощное,2–3 раза в неделю,"Поливать утром, чтобы избежать гниения корней.",Нет,раз в 2 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Solanum lycopersicum,Томат,Овощное,1–2 раза в неделю,"Поливать умеренно, избегать пересыхания почвы.",Нет,раз в год,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Capsicum annuum,Перец,Овощное,2–3 раза в неделю,"Не допускать пересыхания почвы.",Нет,раз в 2 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Phaseolus vulgaris,Фасоль,Овощное,1–2 раза в неделю,"Поливать утром, чтобы листья высыхали к вечеру.",Нет,раз в 2 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
